species|Leaf shape: 5. leaf base|First historical record: 1. date|After-ripening requirement|Root depth: 1. type|Root persistence|Stomata: 1. surfaces present|Sepal number|Range: 3. continents where native|Range: 2. european countries where introduced|Age at first flowering|Incompatibility systems|Photosynthetic pathway|Vegetative reproduction/persistence: 2. pattern|Ellenberg: Temperature|Soil pH: 2. extreme minimum|Leaf lamina thickness: 1. range|Seed viability|Drought Tolerance|Height: 4. typical minimum (cm)|Chromosome number(s): 1. number|Maximum seedbank density (m2)|Change Index|Heteromorphy|Flow|Soil moisture: 3. supply|Lemma|Minimum temperature germination|Ellenberg: Continetality|Seed/ovule ratio|Cleistogamy|Dispersal agent|Height: 2. extreme minimum (cm)|Response to vertebrate grazing|Soil moisture: 1. water table|Normal method of propagation|Stomata: 3. density on upper surface (no/mm2)|Mono/poly-carpic|Longevity of stems (yrs)|Seedbank type|Petal no|Dynamics|Max. Stem Diameter (mm)|Pollen viability|Leaf shape: 6. petiole|Flowering time: 2. latest month|Germination requirements 3. temperature fluctuation|Petal (sepal) size (cm)|Mature leaf N concentration (mg/g)|rgr|Ellenberg Indicator: Salt|Altitude: 1. maximum recorded (m)|Seed production: 2. typical range (/flower)|Pollen vector|Status|Life Form: normal state|Soil pH: 1. extreme maximum|Exposure|Southern European Limit (Latitude, 5C band)|Response to drought|Ellenberg Indicator: Light|Northern Limit in Britain|Ellenberg Indicator: Nitrogen|Annual seed dispersal|Continentality|Dispersule size - length of longest axis (mm)|Nutrition|Stems: 2. support|Height: 3. typical maximum (cm)|Seed weight: 1. maximum (mg)|Minimum temperature at which 50% seeds germinate|Seedbank density: recorded values|Time of seed dispersal (season)|Water pH: 4. typical minimum|EW Index|Life-form|First historical record: 2. site|Leaf shape: 8. maximum petiole length (mm)|Ellenberg: pH|Inflorescence type|Ellenberg : Moisture|number of European countries in which native|July mean temperature|Heterophylly|Fine root diameter (um)|Altitude: 2. minimum recorded (m)|Leaf longevity: 2. number of months|Maximum depth of leaves|Maximum temperature of germination|2C DNA content (pg)|SN Index|British distribution (post 1949 records)|Seedbank longevity|Germination requirements 2. light|Mean seedbank density (m2)|Vegetative reproduction/persistence: 1. method|Dicliny|Germination type|Fertilization|Clonality: normal state|Rarity Status|Seed production: 1. maximum (/flower)|Mature leaf P concentration (mg/g)|Fossil record: 1. earliest record|Root hairs|Leaf shape: 1. type|Stamen number|Leaf shape: 4. length versus breadth|Root depth: 2. depth (cm)|Glume, upper|Photoperiodism: 1. type|Maximum temperature at which 50% seeds germinate|Conservation Status|Pollen: 1. mono/di-morphic|Heavy metal resistance|Life Form: less frequent state|Seedling growth rate - maximum (/d)|Physical defences on leaves|Medicinal Use|Response to frost (non-woody tissue)|Physical defences on stems|Leaf position|Southern European Limit|Flower colour|Time of germination (season)|Clonality: less frequent state|Auricle|Water nutrients|Seed production: 3. typical range (/plant)|Mean Spore Diameter (Pteridophytes) (µ m )|Soil pH: 4. typical minimum|Northern European Limit (Lat,5C band)|Stomata: 2. density on lower surface(no/mm2)|Flowering time: 1. earliest month|Water pH: 3. typical maximum|Leaf folding|Pollen: 2. diameter (um)|Spread|Germination requirements 1. chilling|Leaf area (cm2)|Carpel/Style number|Waterlogging tolerance|Response to frost (seedlings)|Water pH: 2. extreme minimum|Physical defences on flowers/fruits|Soil nutrients|Glume lower|Pollen/ovule ratio|Seed size - length of longest axis (mm)|Stomata 4: density, surface indeterminate (no/mm2)|Water pH: 1. extreme maximum|Mean plant dry mass(mg)|Leaf shape: 2. outline|Appendages on dispersal unit|Leaf shape: 7. minimum petiole length (mm)|Stigma number|Leaf shape: 3. pointed/round|Carnivory|Range: 4. continents where introduced|Height 5: Mean (cm)|Soil pH: 3. typical maximum|Photoperiodism: 2. threshold value (h)|Altitude: 4. typical minimum (m)|Palea|Leaf longevity: 1. type|Shade|Annual precipitation|Seed weight: 3. mean (mg)|Seed weight: 2. minimum (mg)|January mean temperature|Ligule|Flowering time: 3. peak month|Stems: 1. woodiness|Root hair length (mm)|Root system|Height: 1. extreme maximum (cm)|Minimum seedbank density (m2)|Shade tolerance|Range: 1. european countries where native|Dichogamy|Inbreeding (%)|Rgr max|Biome|Soil moisture: 2. drainage|Physical defences on buds|Salinity|Typical abundance where naturally occurring|Fossil record: 2. earliest postglacial record|Eastern Limit|id|genus|family|myFert3|myFert5|myFertGen|myHeavyMet|myPlantAtRange|myPlantAtRarity|myRarityCombined|myEBergL|myEBergF|myEBergR|myEBergN|myEBergS|myPlantAtNativeStatus|myPlantAtConservationStatus|myPlantAtChangeIndex|myPlantAtHeight|myPlantAtLen|myPlantAtPern1|myPlantAtPern2|myPlantAtLife1|myPlantAtLife2|myPlantAtWood|myPlantAtClone1|myPlantAtClone2|myPlantAtMajorBiome|myPlantAtEastLim|myPlantAtCont|myPlantAtTjan|myPlantAtTjul|myPlantAtPrecip|myLocalRarity
lagarosiphon_major|parallel-sided|1944|||||3|Africa||||C3||||||||||||nil|||||||||||vegetative|||||3|increasing, increasing|||sessile|||minute|||0|||water|naturalised|Perennial hydrophyte|||||6|No|6||Not continental||autotrophic||||||||3.74|hydrophyte||0|7|solitary|12||16.0|none||||||6.5|1.67||||||dioecious||no seed produced in Britain|Irregularly fragmenting (mainly water plants)||||||simple|3|>3 times as long as wide|||||||none|||||||submerged|No Data|red||||||||||||||height < width||0.1-1|3||||||||||||toothed||0|6|rounded|does not kill insects|Australasia, Europe||||||||839.0|||4.0|||non-woody||||||||||Mediterranean||||||Hyperoceanic|1720070010|lagarosiphon|||||none|457.0|||6.0|12.0|7.0|6.0|0.0|AN||||300.0|p||Hy||h|Irreg|||||4.0|15.9|839.0|
lagurus_ovatus|parallel-sided||||||0|Europe|||none|C3|no ramets||||||7|14||||||0.45|||||||||seed|||<1||0||||sheathing|8||0||||||wind|native||||||||||||autotrophic|self-supporting|50||||||5.25|therophyte||0||spikate panicle||16||none||||||7|1.39|||||none|hermaphrodite||cross and self|||||||simple|3|>3 times as long as wide||0.9|||||none|||soft hairs||||||green||||||||||6||||height = width||1-10|2|||||very infertile|0.9||||||entire, entire||0|2|pointed|does not kill insects||||||0.4||none||0.51|||0.3||non-woody||fibrous||||||||||||frequent|||1930730010|lagurus|poaceae|mixed|mixed|mixed|none|||||||||||||||||||||||||||frequent
lamarckia_aurea|parallel-sided||||||0|||||||||||||||||||0.25||||||||||||||0||||sheathing|||0||||||||||||||||||||||||||||||||panicle||||none||||||||||||||||||||||simple|3|>3 times as long as wide||0.4||||||||||||||green|||||||||||||||||2||||||0.4|||||||||2|pointed|||||||0.25||||0.54|||0.65||non woody||fibrous|||||||||||||||1930290010|lamarckia|poaceae|||||||||||||||||||||||||||||||
lamium_album|cordate|1548||||both, lower|5|Africa, Asia, Europe|||none|C3|patch-forming|5x, nan|||||20|18|875|-0.65||||||3|||ants||||vegetative|0, 33.07|polycarpic|<1|long-term persistent, seedbank present, type uncertain, short-term persistent, transient|5|increasing|||petiolate|12||2.15|||0, 0, 0|340|1-10|insect|native|Hemicryptophyte|||||6, 7, 7|No|8, 8, 9||Not continental|2.4|autotrophic|self-supporting|60|2|||summer||4.1|hemicryptophyte|||6x, 7, nan|whorl|5, 5, 5|21|15.0|none|150-200|0||||2.2|2.78||||296|rhizomes, rooting stems|hermaphrodite|epigeal|cross or automatic self|Rhizome far creeping||4||||simple|4|1-3 times as long as wide|||||||none|||hairy|arthritis, cuts, skin ailments, toothache||hairy||No Data|white|spring, winter||||1000-10000||||245.5|5|||24.5, 41|height > width||10-100|1|||||fertile|||2.4||||toothed|elaiosome||2|pointed|does not kill insects|North America||||0||evergreen|light|911.0|1.43, 2.3|1|3.6||5, 6|non-woody||||50|||homogamous|||Boreo-Temperate|free-draining|||frequent||Eurasian|1510110070|lamium||mixed|mixed|mixed|none|2086.0|||7.0|5.0|7.0|8.0|0.0|AR||-0.65|60.0||p||hc||h|Rhiz2||5|5||3.6|15.2|911.0|frequent
lamium_amplexicaule|cordate, rounded|1597|absolute|||both|5|Africa, Asia, Europe|||none|C3|no ramets|6, 6|||||5|18|2025|-0.22||||||5||pseudo-cleistogamous, some cleistogamous flowers|||||seed|73.16||<1|long-term persistent, seedbank present, type uncertain, short-term persistent, transient|5|declining|||petiolate|8||1.7|||0, 0, 0|457||insect|native|Therophyte|||||6, 7, 7|No|6, 7, 7||Not continental|2|autotrophic|self-supporting|25|0.6|||||3.41|therophyte||50|7, 7, 7|whorl|4, 4, 4|31|15.0|none||0|||||3.03|||partial|407.5|none|hermaphrodite||normally self|Little or no vegetative spread||||||simple|4|1-3 times as long as wide|>100||day-neutral||||none|||soft hairs|||soft hairs||No Data|pink-purple|spring, summer||||1000-10000||||185.65|4|||50|height = width||1-10|1|||||fertile, infertile||517.3|||||crenate|||2|rounded|does not kill insects|North America||||0|||none|842.0|0.53, 0.6|0.5|3.7|||non-woody||||7|||homogamous, weakly protandrous|||Southern Temperate||||||Euro-Siberian|1510110130|lamium||mixed|normally self|generally self|none|1566.0|||7.0|4.0|7.0|6.0|0.0|AR||-0.22|30.0||a||Th||h|0||8|4||3.7|15.3|842.0|
lamium_confertum|cordate, rounded|1837|||||5|Europe|||none|C3|no ramets||||||5|36||-0.4|||||||||||||seed|||<1||5||||petiolate|9||1.75|||0|320||insect|native|Therophyte|||||7|No|7||Not continental||autotrophic|self-supporting|25||||||4.04|therophyte|Edinburgh||7|whorl|5|9|13.5|none|||||||7.6|||||none|hermaphrodite||normally self|Little or no vegetative spread||||||simple|4|1-3 times as long as wide, length = width|||||||none|||soft hairs|||soft hairs||No Data|pink-purple||||||||||5||||height = width||1-10|1|||||fertile, infertile|||||||crenate, toothed|||2|rounded|does not kill insects||||||||none|1097.0|||3.5|||non-woody||||||||||Boreal montane||||||European|1510110120|lamium||mixed|normally self|generally self|none|448.0|||7.0|5.0|7.0|7.0|0.0|AR||-0.4|25.0||a||Th||h|0||4|3||3.5|13.5|1097.0|
lamium_hybridum|truncate|1666|||||5|Africa, Europe|||none|C3|no ramets||||||10|36||1.57|||||||||||||seed|||<1||5|increasing|||petiolate|10||1.4|||0|320||insect|native|Therophyte|||||7|No|6||Not continental||autotrophic|self-supporting|45||||||3.42|therophyte|Goring||7|whorl|5|22|15.0|none||0|||||2.81|||||none|hermaphrodite||normally self|Little or no vegetative spread||||||simple|4|1-3 times as long as wide, length = width|||||||none|||soft hairs|||soft hairs||No Data|pink-purple||||||||||3||||height = width||1-10|1|||||fertile, infertile|||||||toothed|||2|rounded|does not kill insects|||||0|||none|877.0|1.1||3.9|||non-woody||||||||||Temperate||||||European|1510110110|lamium||mixed|normally self|generally self|none|1395.0|||7.0|5.0|7.0|6.0|0.0|AR||1.57|30.0||a||Th||h|0||7|3||3.9|15.3|877.0|
lamium_maculatum|cordate||||||5|Eu, C. Asia||||||5, nan|||||20|18||||||||4|||||||vegetative||polycarpic|<1||5||||petiolate|10||2.75|31||0, 0||1-10|insects|||||||4x, 5||8, 8||||autotrophic|self supporting|60||||summer|||hemicryptophyte||40|7, 7|whorl|6, 6|||none||||||||||||rhizomes|hermaphrodite|||||4||||simple|4|1-3 x as long as wide||||||||||hairy||resistant|hairy|||pink-purple||||||||||5||||ht < width||10-100|1||||hairy|fertile|||||||toothed||20|2|pointed|does not kill insects|N. America||||||evergreen|mid||1.7||||8|not woody|||||||homogamous||||free draining|hairy|||||1510110060|lamium||||||939.0|||5.0|6.0|7.0|8.0|0.0|AN|||35.0||p||hc||h|Node2||7|3|c|3.6|15.4|869.0|
lamium_purpureum|rounded, truncate|1548|absolute||||5|Europe|||none|C3||5, 5|||||10|18|2437|-1.09||||||3|||ants||||seed|||<1|long-term persistent, seedbank present, type uncertain, short-term persistent, transient|5|increasing|||petiolate|10||1.4|||0, 0, 0|609|1-10|insect|native|Therophyte|||||6, 7, 7|No|7, 7, 7||Not continental|2.3|autotrophic|self-supporting|45||||spring, summer||4.39|therophyte|||7, 7, 7|whorl|5, 5, 5|29|15.0|none|100-150|0||||2.2|3.47|||absolute, none|264|rooting stems|hermaphrodite|epigeal|cross or automatic self|Little or no vegetative spread||4||||simple|4|1-3 times as long as wide|||||||none|||soft hairs|headaches, measles, piles||soft hairs||No Data|pink-purple|autumn, spring, summer, winter|||||||||3|||30|height = width||1-10|1||resistant|||fertile|||2.3||||crenate|elaiosome||2|rounded|does not kill insects|||||0||hibernal|none|1027.0|0.70, 0.9||3.6||4, 5, 6|non-woody||||14|||homogamous|||Temperate||||frequent||European|1510110100|lamium||mixed|mixed|mixed|none|3213.0|||6.0|5.0|7.0|7.0|0.0|AR||-1.09|30.0||a||Th||h|0||7|3||3.6|14.7|1027.0|frequent
lampranthus_falciformis|||||||5|||||C3||||||||||||||||||||||||||||numerous, pink||||sessile|||2|||||||naturalised||||||||||||autotrophic||30|||||||||0||cluster|||||||||||||||||||||||||||numerous||||||||none|||||||||||||||||||||||||0.1-1|5|||||infertile|||||||||0|5|mucronate|does not kill insects||||||||none||0.5023||||||||||||||||||||||520070029|lampranthus|||||none|||||||||||||||||||||||||||
lampranthus_roseus|||||||5|||||||||||||||||||||||||||||||||numerous|||||||2||||||||||||||||||||||||||||||||cluster|||||||||||||||||||||||||||numerous|||||||||||||||||pink|||||||||||||||||5|||||||||||||||5||||||||||||||||||||||||||||||||||920002391|lampranthus||||||||||||||||||||||||||||||||
lappula_squarrosa|||||||5|||||||6, 6||||||||||||||6||||||||||||5|||||||0.15|||0, 0||||||||||8, 8||6, 6||||||||||||||||7, 7|cymes|3, 3||||||||||||||||||||||||||5|||||||||||||||||blue|||||||||||||||||1|||||||||||||||1||||||||||||1.0332||||||||||||||||||||||1480310050|lappula||||||||||||||||||||||||||||||||
lapsana_communis|cuneate|1597, 1945||||both|0|Africa, Europe|||none|C3|no ramets|6, 6|4.6||||15|14, 14, 16|888|-0.47||||||3|||unspecialised||||seed|18.98||<1|long-term persistent, seedbank present, type uncertain, short-term persistent, transient|5||||petiolate, sessile|9||0.85|||0, 0, 0|441|10-100|insect|native|Therophyte|8.3||<45||5, 5x, 6|No|7, 7, 7||Not continental|4.5|autotrophic|self-supporting|125|1.9|13||autumn, summer||4.47|therophyte|Bedford||6x, 7, nan|capitulum|4, 5, 5|29|15.0|developmental|150-200|0||||2.4|3.41||||207.125|none|hermaphrodite|epigeal|cross or automatic self|Little or no vegetative spread|Present|21||||compound, simple|5|1-3 times as long as wide||||35|||none|||hairy|bruises, burns, cuts||glabrous, hairy||No|yellow|autumn, spring||||1000-10000|||>65|114.48|6|||31|height > width||10-100|1||resistant|||fertile|||4.5||||lobed and toothed, toothed||0|2|pointed|does not kill insects|North America||||0||semi-evergreen|light, mid, none|1059.0|0.9, 1.3|1.1|3.6|||non-woody||tap root||6|||markedly protandrous|||Temperate||||frequent||European|1691770010|lapsana|compositae|mixed|mixed|mixed|none|3345.0|n|n|6.0|4.0|7.0|7.0|0.0|||-0.47|95.0||a||Th||h|0||7|3||3.6|14.7|1059.0|frequent
lapsana_communis_subsp_intermedia|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||yellow||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||920001104|lapsana|compositae|||||||||||||||||||||||||||||||
larix_decidua|parallel sided|1660||||||Europe||5-20 yrs||||4, nan|2.8|||2.31||24, 48||||||||6|||wind||||||polycarpic|100-500, 100-500||||1500||sessile|4|||||0, 0|2438||wind|naturalised||7.8||||-8, 7||3, 4|mast|||autotrophic|self supporting|4600, 5000|7||||||phanerophyte|||5x, nan||4, 4|||none||||||22.9|||||||monoecious|||||||||simple||>3 times as long as wide||||||||||glabrous|||glabrous||||||||||4|||3||||height>>width|partial|||1.1|||glabrous|fertile|||||||entire|wings|||rounded|does not kill insects|||||||aestival|none||4, 6.4|3.5||||woody|||5000||1.46||||||well drained||||||260050020|larix||||||2194.0|||7.0|4.0|6.0|3.0|0.0|AN||2.91|4600.0||p||Ph||w|0|||||3.3|14.7|1049.0|
larix_kaempferi|parallel sided|||||||||||||||||3||24|||||||||||wind||||seed||polycarpic|||||||sessile|4|||16, 7|||||wind|||||||||||||autotrophic|self supporting|30|||||||phanerophyte||||||||none||||||26.4, 26.4|||||||monoecious|||||||||simple||||||||||||glabrous|||glabrous||||||||||6|||3||||ht >> width|absolute|1-10||1.58|||glabrous|Fertile|||||||entire|wings|||obtuse|does not kill insects|||7.5||||aestival|none||4.2, 4.7||||3|woody|||3700||1.38||||||free draining||none||||260050010|larix||||||807.0|||7.0|6.0|5.0|3.0|0.0|AN|||3700.0||p||Ph||w|0|||||3.3|14.6|1133.0|
lathraea_clandestina|not applicable|||||not applicable|4|Eu||||||||not applicable||||42||||||||||||||||not applicable|polycarpic|||5||||not applicable|5||4.5|||||1-10|||||||parasitic||||||||self supporting|8|||||||geophyte||not applicable||solitary||||none|||not applicable||||||||||hermaphrodite|||||5||||not applicable|4|not applicable||||||||||||||||purple|||||10-100||||not applicable|4||||ht = width||not applicable|1||||||||||||not applicable||not applicable|1|not applicable|does not kill insects|||||||not applicable|||||||4|not woody||||||Fr, It, Be, De, Esp|||||||||||1540390030|lathraea||||||||||||||||||||||||||||||||
lathraea_squamaria|not applicable|1597|||||4|Asia, Europe|||||diffuse ramets|5, 5|||||8|36||-0.36||||||3||||||||||<1||5||||not applicable|5||1.7|||0, 0, 0|304|10-100|insect|native|Non-bulbous geophyte|||<45||3, 3, 3|No|6, 6, 7||Not continental||parasitic|self-supporting|30||||||4.23|geophyte|Maidstone, Kent|not applicable|7, 7, 7|solitary|6, 6, 6|22|15.0|not applicable||0|||||2.84|||||rhizomes|hermaphrodite||normally cross|Little or no vegetative spread|Present|110||||absent|4|not applicable|||||||none||||coughs, lung ailments||soft hairs||No|cream|||||1000-10000|||60-65||4|||34|height > width|||1|||||fertile, very fertile|||||||not applicable||not applicable|1|not applicable|does not kill insects|||||0|||deep, light, mid|955.0|0.53, 0.61||3.3|||non-woody|||||||markedly protogynous|||Temperate||||scattered||European|1540390010|lathraea||mixed|normally cross|generally cross|none|754.0|n|n|3.0|6.0|7.0|6.0|0.0|N||-0.36|30.0||p||Gn||h|0||7|3||3.3|15.0|955.0|scattered
lathyrus_annuus|||||||5|||||||5, nan||||||14||||||||||||||||||||5|||||||1.5|||0, nan||||||||||3, nan||7, nan||||||||||||||||7, nan|raceme|6, nan|||||||||14.45|||||||||||||||||10|||||||||||||||||yellow|||||||||||||||||1|||||||||||||||1||||||||||||62.3||||||||||||||||||||||810510460|lathyrus||||||||||||||||||||||||||||||||
lathyrus_aphaca||1632|||||5|Africa, Asia, Europe||||C3|no ramets|7, 7||||||14||-1.38||||||3|||||||seed|||<1||5|declining||||8||1.15|||0, 0, 0||1-10|insect|naturalised|Therophyte|||<45||7, 7, 7|Yes|3, 4, 5||Not continental|3.8|autotrophic|tendrils|100|28|||||3.83|therophyte|Gravesend||8, 8, 8|raceme|3, 3, 3|15|16.0|none||0||||13.8, 14.0, 20.7|1.38|70||||none|hermaphrodite|||Little or no vegetative spread|Scarce|7||||absent|10||||||||none|||glabrous|||glabrous||No|yellow|autumn, autumn|||||||50-55||6||||height = width|||1|||||fertile, very fertile|||3.8|||||||1||does not kill insects|||||0|||none|718.0|21, 23|21|4.0|||non-woody||||||||||Mediterranean-Atlantic|free-draining|||scattered||Suboceanic|810510540|lathyrus|||||none|177.0|s|s|7.0|3.0|8.0|4.0|0.0|||-1.38|60.0||a||Th||h|0||9|2||4.0|16.4|718.0|scattered
lathyrus_grandiflorus|||||||5|Eu|Uk, Irl, Fr|||||||||||14|||||||||||||||||polycarpic|||5|||||||3|||||10-100||||||||||||||autotrophic|tendrils|200|||||||hemicryptophyte||||raceme||||none||||||18.5||||||suckers|hermaphrodite|||||20||||compound|10|length = breadth||||||||||hairy||resistant|hairy|||pink-purple||||||||||||||ht = width||1-10|1||||glabrous|fertile|||||||entire|||1|acute|does not kill insects|N. Africa, N. America, Australasia|||||||some||24.7|||||not woody||||||It, Slov, Alb, Gr, Bulg|||||free draining|hairy|||||810510290|lathyrus||||||||||||||||||||||||||||||||
lathyrus_heterophyllus|||||||5|||||||7, 7||||||14||||||||4||||||||||||5|||||||1.5|||0, 0||||||||||7, 7||2, 4||||||||||||||||8, 8|raceme|4, 4|||||||||18.4|||||||||||||||||10|||||||||||||||||pink-purple|||||||||||||||||1|||||||||||||||1||||||||||||73.401||||||||||||||||||||||810510340|lathyrus||||||||||||||||||||||||||||||||
lathyrus_hirsutus|cuneate||||||5|Eurasia, N Africa||||||6, 6|||||20|14||||||||4|||||||||monocarpic|||5||||petiolate|7||1.15|46||0, 1||1-10|insect|||||||7, 7||6x, nan|||3.5|autotrophic|scrambling|120|||||||hemicryptophyte|||7, 8|raceme|4, 4|6||none||||||19.95, 19.95|||||||hermaphrodite|||||10||||compound|10|length = breadth||||||||||glabrous|||glabrous|||purple|||||||5.8|||5||||ht = width||1-10|1||||hairy||||3.5||||entire|||1|mucronate|does not kill insects|||6.2|||||||24.9, 27||||6|not woody||||||Hu, Mo, Pl, Ro, Sk, Ukr||||||glabrous|||||810510490|lathyrus||||||||||||||||||||||||||||||||
lathyrus_japonicus|rounded|1570||deep||both|5|Asia, Europe, North America, South America||2-5 yrs|present, mechanism unknown|C3|||5.8||||30|14||-0.32||||||||cleistogamy not recorded|eaten by birds, eaten by mammals, water, wind||decreases||seed|100|polycarpic|<1|transient|5|declining|||petiolate|10||3|||3|4.5|1-10|insect|native|Non-bulbous geophyte|7.2||<45|resists|9|No|6|regular|Not continental||autotrophic|tendrils|90||||autumn, summer||3.51|hemicryptophyte|Aldborough, Suffolk||7|raceme|5|10|16.0|none||3||||15.6|1.96|40||||rhizomes, rooting stems|hermaphrodite|hypogeal|normally cross|Little or no vegetative spread|Scarce|10||||compound|10|1-3 times as long as wide|>100||||||none|||glabrous||very resistant|glabrous||No|purple|spring||||1000-10000|||>65|100|4||||height < width||10-100|1||very resistant||glabrous|infertile, very infertile|||4.3||||entire|||1|rounded|does not kill insects||||||||none|886.0|27.9, 39||4.7||5, 6, 7|non-woody||tap root|||||protandrous, protandrous|||Boreo-Arctic Montane|free-draining||brackish|scattered||European|810510040|lathyrus||mixed|normally cross|generally cross|none|77.0|s|s|9.0|5.0|7.0|6.0|3.0|N||-0.32|20.0||p||Gn||h|0||2|3||4.7|15.7|886.0|scattered
lathyrus_latifolius|cuneate|||||both|5|C. europe||||||7, 8||0.2-0.5|||100|14||||||||4||||||||70|polycarpic|<1||5||7||petiolate|8||2.25|37.73||0, 0||10-100||||||||7, 7||3, 5|||5.5|autotrophic|tendrils|200|||||||hemicryptophyte|||8, 9|raceme|4, 4|||none||||||21.47, 21.75||||||rhizome|hermaphrodite||insects|||23|1.15|||compound|10|length = width||||||||||glabrous||resistant|glabrous|||pink-purple|||||||||78|6||||ht = width|||1||||tubercles|Fertile|||5.5||||entire||10-100|1|pointed|does not kill insects|Australasia, North America, South America, Asia 3.01|||||||none||40.3, 51||||7|not woody|||300||||||||free draining|glabrous|||||810510330|lathyrus||outcrossing|outcrossing|generally cross||782.0|||7.0|4.0|8.0|3.0|0.0|AN|||300.0||p||hc||h|Rhiz1||8|3||3.9|16.0|782.0|
lathyrus_linifolius|cuneate|1548||shallow||both|5|Africa, Europe||||C3||5, 5|||||15|14|100|-0.93|||continuous|||2|||explosive mechanism, unspecialised||||seed and vegetative|10|polycarpic|<1|seedbank present, type uncertain, transient|5|declining|||petiolate|7||1.3||0.46|0, 0, 0|762|1-10|insect|native|Non-bulbous geophyte|||<45||6, 6x, nan|No|2, 3, 3||Not continental|2.6|autotrophic|self-supporting|50||||autumn, summer||4.79|hemicryptophyte|Coombe Park, Surrey||3, 3, 4|raceme|5, 5, 5|22|14.0|none||||||16.5|4.12|||none|100|rhizomes, tubers|hermaphrodite|hypogeal||Rhizome far creeping|Present|6||||compound|10|1-3 times as long as wide|||||||none||0.07|glabrous|back ache, ease hunger, indigestion, lung ailments||glabrous||No|red-purple|autumn, spring||||8|||>65|58|4||||height = width||10-100|1||||glabrous|infertile, very infertile|||2.6|||310|entire|||1|pointed|does not kill insects|||||||aestival|light, mid, none|1172.0|11, 12.49, 15||3.3|||non-woody||||100|||||0.49|Temperate||||||European|810510190|lathyrus|||||none|2500.0|n|n|6.0|5.0|4.0|3.0|0.0|N||-0.93|40.0||p||Gn||h|Rhiz2||7|3||3.3|14.2|1172.0|
lathyrus_niger|rounded|1821|||||5|Africa, Europe||||C3||6, 6|||||30|14||||||||4||||||||||<1|transient|5||||petiolate|7||1.25|||0, 0|365||insect|native||||||5, 5||3, 4||||autotrophic|self-supporting|60|||||||hemicryptophyte|Airly, Forfar||7, 7|raceme|3, 4|25||none||||||16.6||||||rhizomes|hermaphrodite|||||||||compound|10|1-3 times as long as wide|||||||none|||glabrous|||glabrous|||purple||||||||||6||||height = width||10-100|1|||||fertile, very fertile|||||||entire|||1|pointed|does not kill insects||||||||light, mid||16.78|||||non-woody|||||||||||||||||810510030|lathyrus|||||none|||||||||||||||||||||||||||
lathyrus_nissolia||1632||||both|5|Africa, Europe||12-24 weeks|none|C3|no ramets|6, 7|||||30|14||0.54||||||4|||||||seed|176||<1||5|||||7||1.25|||0, 0, 0||1-10, 10-100|insect|native|Therophyte|||<45||7, 8, 8|Yes|4, 4, 6||Not continental||autotrophic|self-supporting|90||||||3.45|therophyte|Hampstead, London||7, 7, 7|raceme|4, 4, 6|23|16.0|none||||||13.2|1.18|||||none|hermaphrodite||normally self|Little or no vegetative spread|Present|||||absent|10||||||||none|||glabrous|||glabrous||No|crimson|autumn|||||||50-55|29|5||||height > width|||1|||||fertile||||||||||1||does not kill insects|North America|||||||none|742.0|7.6, 9.37||3.9|||non-woody||||||||||Temperate||||scattered||European|810510530|lathyrus||mixed|normally self|generally self|none|568.0|n|n|8.0|6.0|7.0|6.0|0.0|N||0.54|75.0||a||Th||h|0||7|3||3.9|16.3|742.0|scattered
lathyrus_odoratus|cuneate||||||5|Eu||||||||||||14|||||||||||||||seed||monocarpic|> 1 yr||5||||petiolate|||2.75||||||insect||||||||||||5|autotrophic|tendrils|250|||||||hemicryptophyte||||raceme||1||none||||||14.55, 15.55||||||none|hermaphrodite|||||||||compound|10|||||||||||Glabrous||resistant|glabrous|||pink|||||||||||||3640 x 32|ht=width||10-100|1||||glabrous|FERTILE|||5||||entire|||1|round|does not kill insects|N.Am, Australasia|||||||none||69.2|||||not woody||||||Italy|||||Free draining|glabrous|||||810510370|lathyrus||||||||||||||||||||||||||||||||
lathyrus_palustris|cuneate|1666|||||5|Asia, Europe, North America||||C3||6, 6|5.36||||60|42||0.23|||||||||||||seed|||<1|transient|5|declining|||petiolate|7||1.6|||0, 0, 0||1-10|insect|native|Hemicryptophyte|7.48||<45||7, 7, 8|No|3, 4, 4||Not continental||autotrophic|tendrils|120||||||3.2|hemicryptophyte|London||7, 7, 8|raceme|8, 8=, 9|26|15.0|none|||||||2.49|22|||||hermaphrodite|||Rhizome far creeping|Scarce|||||compound|10|length = width|||||||none|||glabrous|||glabrous||No|purple-blue||||||||>65||5||||height = width||10-100|1|||5.58|glabrous|fertile, very fertile|||||6.7||entire|||1|pointed|does not kill insects||||||||light, none|823.0|14.8, 14.9, 16.2||3.9|||non-woody||||||||||Boreo-Temperate||||scattered||Circumpolar|810510230|lathyrus|||||none|93.0|s|s|7.0|9.0|7.0|4.0|0.0|N||0.23|120.0||p||hc||h|Rhiz2||5|6||3.9|15.4|823.0|scattered
