year,reference,family,genus,species,m.d.g,latitude,hemisphere,biome,growth,life.history,si,mean.tm,References
2011,"Carolina L. Pometti, Juan C. Vilardi, Beatriz O. Saidman. 2011. Mating system parameters and genetic structure in Argentinean populations of Acacia caven (Leguminosae, Mimosoideae). Plant Syst Evol  292:25_32.",Fabaceae,Acacia,caven,D,28.0125,S,7,4,4,,0.957,"Barabelli, J. M., A. A. Cocucci, and A. M. Anton. 1995. Reproductive biology in Acacia caven (Mol.) Mol. (Legumionsae) in the central region of Argentina. Bothanical Journal of the Linnean Society, 199: 65-76."
2011,"Carolina L. Pometti, Juan C. Vilardi, Beatriz O. Saidman. 2011. Mating system parameters and genetic structure in Argentinean populations of Acacia caven (Leguminosae, Mimosoideae). Plant Syst Evol  292:25_32.",Fabaceae,Acacia,caven,D,28.0125,S,5,4,4,,0.957,"Barabelli, J. M., A. A. Cocucci, and A. M. Anton. 1995. Reproductive biology in Acacia caven (Mol.) Mol. (Legumionsae) in the central region of Argentina. Bothanical Journal of the Linnean Society, 199: 65-76."
2011,"Carolina L. Pometti, Juan C. Vilardi, Beatriz O. Saidman. 2011. Mating system parameters and genetic structure in Argentinean populations of Acacia caven (Leguminosae, Mimosoideae). Plant Syst Evol  292:25_32.",Fabaceae,Acacia,caven,D,28.0125,S,5,3,4,,0.957,"Barabelli, J. M., A. A. Cocucci, and A. M. Anton. 1995. Reproductive biology in Acacia caven (Mol.) Mol. (Legumionsae) in the central region of Argentina. Bothanical Journal of the Linnean Society, 199: 65-76."
2001,"Williams, C. F., J. Ruvinsky, P. E. Scott, and D. K. Hews. 2001. Pollination, breeding system, and genetic structure in two sympatric Delphinium (Ranunculaceae) species. American Journal of Botany 88:1623_1633.",Ranunculaceae,Delphinium,barbeyi,D,38.87,N,2,1,4,1,0.554,"Williams, C. F., J. Ruvinsky, P. E. Scott, and D. K. Hews. 2001. Pollination, breeding system, and genetic structure in two sympatric Delphinium (Ranunculaceae) species. American Journal of Botany 88:1623_1633."
2008,"Flavio Nunes Ramos, Maria Imaculada Zucchi,  Vera Nisaka Solferini, Flavio A. M. Santos. 2008. Mating Systems of Psychotria tenuinervis (Rubiaceae): Distance from Anthropogenic and Natural Edges of Atlantic Forest Fragment. Biochem Genet 46:88_100",Rubiaceae,Psychotria,tenuinervis,D,22.83,S,8,3,4,,0.42,
1998,"Liengsiri, C., Boyle, T. J. B., and F. C. Yeh. 1998. Mating system in Pterocarpus macrocarpus Kurz in Thailand. J. of Heredity 89:216_221.",Fabaceae,Pterocarpus,macrocarpus,D,16.1,N,8,4,4,0,0.897,"Liengsiri, C., Boyle, T. J. B., and F. C. Yeh. 1998. Mating system in Pterocarpus macrocarpus Kurz in Thailand. J. of Heredity 89:216_221."
1990,"Preston, R. E. 1990. The reproductive biology of Streptanthus tortuosus. University of California, Davis, Davis, California, U.S.A.",Brassicaceae,Streptanthus,tortuosus,D,39.15,N,,1,1,1,0.9,"Preston, R. E. 1990. The reproductive biology of Streptanthus tortuosus. University of California, Davis, Davis, California, U.S.A."
2005,Herlihy et al. 2005 unpublished data,Ranunculaceae,Aquilegia,vulgaris,D,,N,,1,4,1,0.365,Herlihy et al. 2005 unpublished data
1989,"Warwick SI,  BK Thompson. 1989. The mating system in sympatric populations of Carduus nutans, C. acanthoides and their hybrid swarms. Heredity 63:329_337",Asteraceae,Carduus,acanthoides,D,44.47,N,,1,2,1,0.71,"Warwick SI,  BK Thompson. 1989. The mating system in sympatric populations of Carduus nutans, C. acanthoides and their hybrid swarms. Heredity 63:329_337"
1998,"Sun M, Wong KC, JSY Lee. 1998. Reproductive biology and population genetic structure of Kandelia candel (Rhizophoraceae), a viviparous mangrove species. Am J Bot 85:1631_1637",Rhizophoraceae,Kandelia,candel,D,22.36,N,,4,4,1,0.747,"Sun M, Wong KC, JSY Lee. 1998. Reproductive biology and population genetic structure of Kandelia candel (Rhizophoraceae), a viviparous mangrove species. Am J Bot 85:1631_1637"
2000,"Baker, A. M., J. D. Thompson, and S. C. H. Barrett. 2000. Evolution and maintenance of stigma_height dimorphism in Narcissus. II. Fitness comparisons between style morphs. Heredity 84:514_524.",Amaryllidaceae,Narcissus,assoanus,M,43.3,N,3,1,4,0,0.976,"Baker, A. M., J. D. Thompson, and S. C. H. Barrett. 2000. Evolution and maintenance of stigma_height dimorphism in Narcissus. II. Fitness comparisons between style morphs. Heredity 84:514_524."
1988,Andersen R.N. 1988. Outcrossing in velvetleaf (Abutilon theophrasti). Weed Sci 36(5):599_602.,Malvaceae,Abutilon,theophrasti,D,44.85,N,,1,1,1,0.057,"Andersen R.N. 1988. Outcrossing in velvetleaf (Abutilon theophrasti). Weed Sci 36(5):599_602.; Warwick, S. I. and L. D. Black. 1986. Genecological variation in recently established populations of Abutilon theophrasti (velvetleaf). Canadian Journal of Botany, 64: 1632-1643. "
1991,"Murawski DA, JL Hamrick. 1991. The effect of the density of flowering individuals on the mating systems of nine tropical tree species. Heredity 67:167_174",Fabaceae,Tachigali,versicolor,D,9.33,N,8,4,4,,0.937,"Murawski DA, JL Hamrick. 1991. The effect of the density of flowering individuals on the mating systems of nine tropical tree species. Heredity 67:167_174"
1974,"Harding, J., C. B. Mankinen, and M. Elliot. 1974. Genetics of Lupinus. VII. Outcrossing autofertility, and variability in natural populations of the Nanus group. Taxon 23:729_738.",Fabaceae,Lupinus,bicolor,D,,N,6,1,1,1,0.068,"Harding, J., C. B. Mankinen, and M. Elliot. 1974. Genetics of Lupinus. VII. Outcrossing autofertility, and variability in natural populations of the Nanus group. Taxon 23:729_738."
1994,"Cruzan MB, Hamrick JL, Arnold ML, BD Bennett. 1994. Mating system variation in hybridizing irises: effects of phenology and floral densities on family outcrossing rates. Heredity 72:95_105",Iridaceae,Iris,fulva,M,30.12,N,,1,4,,0.752,"Cruzan MB, Hamrick JL, Arnold ML, BD Bennett. 1994. Mating system variation in hybridizing irises: effects of phenology and floral densities on family outcrossing rates. Heredity 72:95_105; Wesselingh, R. A. and M. L. Arnold. 2003. A top-down hierarchy in fruit set on inflorescences in Iris fulva (Iridaceae). Plant Biology, 5: 651-660."
1991,"Murawski DA, JL Hamrick. 1991. The effect of the density of flowering individuals on the mating systems of nine tropical tree species. Heredity 67:167_174",Malvaceae,Cavanillesia,platanifolia,D,9.33,N,8,4,4,1,0.376,"Murawski DA, JL Hamrick. 1991. The effect of the density of flowering individuals on the mating systems of nine tropical tree species. Heredity 67:167_174"
1989,"Sampson JF, Hopper SD, SH James. 1989. The mating system and population genetic structure in a bird_pollinated mallee, Eucalyptus rhodantha. Heredity 63: 383_393",Myrtaceae,Eucalyptus,rhodantha,D,30.3,S,3,3,4,,0.63,"Sampson JF, Hopper SD, SH James. 1989. The mating system and population genetic structure in a bird_pollinated mallee, Eucalyptus rhodantha. Heredity 63: 383_393"
2010,Zhu and Lou 2010,Crassulaceae,Rhodiola ,dumulosa,D,40,N,,1,4,1,0.728,
2010,Zhu and Lou 2010,Crassulaceae,Rhodiola ,dumulosa,D,40,N,,1,4,1,0.728,
1992,"Lowenfeld, R., and E. J. Klekowski. 1992. Mangrove genetics .1. Mating system and mutation rates of Rhizophora mangle in Florida and San Salvador Island, Bahamas. International Journal of Plant Sciences 153:394_399.",Rhizophoraceae,Rizophora,mangle,D,24.58,N,,4,4,1,0.048,"Lowenfeld, R., and E. J. Klekowski. 1992. Mangrove genetics .1. Mating system and mutation rates of Rhizophora mangle in Florida and San Salvador Island, Bahamas. International Journal of Plant Sciences 153:394_399."
1994,"Klekowski EJ Jr, Lowenfeld R, PK Hepler. 1994. Mangrove genetics. II. Outcrossing and lower spontaneous mutation rates in Puerto Rican Rhizophora. Int. J. of Plant Sci 155:373_381",Rhizophoraceae,Rizophora,mangle,D,17.97,N,,4,4,1,0.288,"Klekowski EJ Jr, Lowenfeld R, PK Hepler. 1994. Mangrove genetics. II. Outcrossing and lower spontaneous mutation rates in Puerto Rican Rhizophora. Int. J. of Plant Sci 155:373_381"
2003,"Alves, R. M., A. S. Arter, A. M. Sebbenn, and A. Figueira. 2003. Mating system in a natural population of Theobroma grandiflorum (Willd. ex Spreng.) Schum., by microsatellite markers. Genetics and Molecular Biology 26:373_379.",Malvaceae,Theobroma,grandiflorum,D,4.53,S,8,4,4,0,1,"Alves, R. M., A. S. Arter, A. M. Sebbenn, and A. Figueira. 2003. Mating system in a natural population of Theobroma grandiflorum (Willd. ex Spreng.) Schum., by microsatellite markers. Genetics and Molecular Biology 26:373_379."
1991,"Murawski DA, JL Hamrick. 1991. The effect of the density of flowering individuals on the mating systems of nine tropical tree species. Heredity 67:167_174",Malvaceae,Quararibea,asterolepis,D,9.33,N,8,4,4,0,1.008,"Murawski DA, JL Hamrick. 1991. The effect of the density of flowering individuals on the mating systems of nine tropical tree species. Heredity 67:167_174"
1985,"Brown, A. H. D., S. C. H. Barrett, and G. Morgan. 1985. Mating system estimation in forest trees:  models, methods and meetings. Proceedings of the meeting of the IUFRO Working Party ""Ecological and Popualation Genetics"", Goettingen, Germany ",Myrtaceae,Eucalyptus,grandis,D,,S,8,4,4,0,0.84,"Brown, A. H. D., S. C. H. Barrett, and G. Morgan. 1985. Mating system estimation in forest trees:  models, methods and meetings. Proceedings of the meeting of the IUFRO Working Party ""Ecological and Popualation Genetics"", Goettingen, Germany "
2003,"Chaix, G., S. Gerber, V. Razafimaharo, P. Vigneron, D. Verhaegen, and S. Hamon. 2003. Gene flow estimation with microsatellites in a Malagasy seed orchard of Eucalyptus grandis. Theoretical and Applied Genetics 107:705_712.",Myrtaceae,Eucalyptus,grandis,D,18.07,S,8,4,4,0,0.967,"Chaix, G., S. Gerber, V. Razafimaharo, P. Vigneron, D. Verhaegen, and S. Hamon. 2003. Gene flow estimation with microsatellites in a Malagasy seed orchard of Eucalyptus grandis. Theoretical and Applied Genetics 107:705_712."
2010,Yang and Hodges 2010,Ranunculaceae,Aquilegia,pubesccens,D,37.36,N,,1,4,,0.692,
2002,"Veasey, E. A., R. Vencovsky, P. S. Martins, and G. Bandel. 2002. Germplasm characterization of Sesbania accessions based on isozyme analyses - Isozyme electrophoresis in Sesbania species. Genetic Resources and Crop Evolution 49:449_462.",Fabaceae,Sesbania,sesban,D,23.5,S,7,3,4,1,0.681,"Veasey, E. A., R. Vencovsky, P. S. Martins, and G. Bandel. 2002. Germplasm characterization of Sesbania accessions based on isozyme analyses - Isozyme electrophoresis in Sesbania species. Genetic Resources and Crop Evolution 49:449_462."
2009,Schmidt_AdamETAL 2009,Myrtaceae,Metrosideros,excelsa,D,36.22,S,6,4,4,1,0.71,
2003,"Gaudeul, M., and I. Till_Bottraud. 2003. Low selfing in a mass_flowering, endangered perennial, Eryngium alpinum L. (Apiaceae). American Journal of Botany 90:716_723.",Apiaceae,Eryngium,alpinum,D,44.79,N,3,1,4,0,0.887,"Gaudeul, M., and I. Till_Bottraud. 2003. Low selfing in a mass_flowering, endangered perennial, Eryngium alpinum L. (Apiaceae). American Journal of Botany 90:716_723."
1994,Krauss SL. 1994. Restricted gene flow within the morphologically complex species Persoonia mollis (Proteaceae): contrasting evidence from the mating system and pollen dispersal. Heredity 73:142_54,Proteaceae,Persoonia,mollis,D,34.2,S,6,3,4,0,1.16,Krauss SL. 1994. Restricted gene flow within the morphologically complex species Persoonia mollis (Proteaceae): contrasting evidence from the mating system and pollen dispersal. Heredity 73:142_54
2000,"Krauss, S. L. 2000. Patterns of mating in Persoonia mollis (Proteaceae) revealed by an analysis of paternity using AFLP: implications for conservation. Australian Journal of Botany 48:349_356.",Proteaceae,Persoonia,mollis,D,34.2,S,6,3,4,0,0.988,"Krauss, S. L. 2000. Patterns of mating in Persoonia mollis (Proteaceae) revealed by an analysis of paternity using AFLP: implications for conservation. Australian Journal of Botany 48:349_356."
1998,"James, T., S. Vege, P. Aldrich, and J. L. Hamrick. 1998. Mating systems of three tropical dry forest tree species. Biotropica 30:587_594.",Bignoniaceae,Jacaranda,copaia,D,8.95,N,7,4,4,,0.9625,"James, T., S. Vege, P. Aldrich, and J. L. Hamrick. 1998. Mating systems of three tropical dry forest tree species. Biotropica 30:587_594.; Pollination biology in Jacaranda copaia (Aubl.) D. Don. (Bignoniaceae) at the ""Floresta Nacional do Tapajos"", Cental Amazon, Brazil. Brazilian Journal of Botany, 31: 517-527."
1991,"Lyons E.E., J. Antonovics. 1991. Breeding system evolution in Leavenworthia:_ I._ Breeding system variation and reproductive success in natural populations of Leavenworthia crassa. Amer. J. Bot. 78:270_287.",Brassicaceae,Leavenworthia,crassa,D,34.18,N,6,1,1,1,0.1855,"Lyons E.E., J. Antonovics. 1991. Breeding system evolution in Leavenworthia:_ I._ Breeding system variation and reproductive success in natural populations of Leavenworthia crassa. Amer. J. Bot. 78:270_287."
1994,"Cruzan MB, Hamrick JL, Arnold ML, BD Bennett. 1994. Mating system variation in hybridizing irises: effects of phenology and floral densities on family outcrossing rates. Heredity 72:95_105",Iridaceae,Iris,hexagona,M,30.12,N,,1,4,1,0.9,"Cruzan MB, Hamrick JL, Arnold ML, BD Bennett. 1994. Mating system variation in hybridizing irises: effects of phenology and floral densities on family outcrossing rates. Heredity 72:95_105"
2009,BaciesETAL2009,Myrtaceae,Corymbia,citriodora_variegata,D,26.68,S,7,4,4,1,0.899,
2002,"Elle, E., and J. D. Hare. 2002. Environmentally induced variation in floral traits affaects the mating system in Datura wrightii. Functional Ecology 16:79_88.",Solanaceae,Datura,wrightii,D,33.81,N,1,1,4,,0.265,"Elle, E., and J. D. Hare. 2002. Environmentally induced variation in floral traits affaects the mating system in Datura wrightii. Functional Ecology 16:79_88."
1995,"Damgaard, C., and R. J. Abbott. 1995. Positive correlations between selfing rate and pollen_ovule ratio within plant populations. Evolution 49:214_217.",Brassicaceae,Brassica,napus,D,53.28,N,6,1,5,1,0.37,"Damgaard, C., and R. J. Abbott. 1995. Positive correlations between selfing rate and pollen_ovule ratio within plant populations. Evolution 49:214_217."
2000,"Baker, A. M., J. D. Thompson, and S. C. H. Barrett. 2000. Evolution and maintenance of stigma_height dimorphism in Narcissus. II. Fitness comparisons between style morphs. Heredity 84:514_524.",Amaryllidaceae,Narcissus,dubius,M,43.3,N,3,1,4,1,0.582,"Baker, A. M., J. D. Thompson, and S. C. H. Barrett. 2000. Evolution and maintenance of stigma_height dimorphism in Narcissus. II. Fitness comparisons between style morphs. Heredity 84:514_524."
2012,"Sara R. Dart, Karen E. Samis, Emily Austen, and Christopher G. Eckert. 2012. Broad geographic covariation between floral traits and the mating system in Camissoniopsis cheiranthifolia (Onagraceae): multiple stable mixed mating systems across the speciesê range? Annals of Botany 109: 599_611.",Onagraceae,Camissoniopsis,cheiranthifolia,D,31.64,N,,1,4,0,0.42,
2002,Eckert. 2002. Effect of geographical variation in pollinator fauna on the mating system of Decodon verticillatus (Lythraceae). International Journal of Plant Science 163:123_132.. Int J Plant Sci 163:123_132,Lythraceae,Decodon,verticillatus,D,40.46,N,,1,4,1,0.732,Eckert. 2002. Effect of geographical variation in pollinator fauna on the mating system of Decodon verticillatus (Lythraceae). International Journal of Plant Science 163:123_132.. Int J Plant Sci 163:123_132
1994,"Murawski DA, Fleming TH, Ritland K, JL Hamrick. 1994. Mating system of Pachycereus pringlei: an autotetraploid cactus. Heredity 72:86_94",Cactaceae,Pachycereus,pringlei,D,28.83,N,1,4,4,1,0.6898,"Murawski DA, Fleming TH, Ritland K, JL Hamrick. 1994. Mating system of Pachycereus pringlei: an autotetraploid cactus. Heredity 72:86_94"
2003,"Molina_Freamer, F., M. Cervantes_Salas, D. Morales_Romero, S. Buchmann, and T. H. Fleming. 2003. Does the pollinator abundance hypothesis explain geographic variation in the breeding system of Pachycereus pringlei? International Journal of Plant Sciences 164:383_393.",Cactaceae,Pachycereus,pringlei,D,29,N,1,4,4,1,1.1725,"Molina_Freamer, F., M. Cervantes_Salas, D. Morales_Romero, S. Buchmann, and T. H. Fleming. 2003. Does the pollinator abundance hypothesis explain geographic variation in the breeding system of Pachycereus pringlei? International Journal of Plant Sciences 164:383_393."
1994,"Escalante, A. M., G. Coello, L. E. Eguiarte, and D. Pinero. 1994. Genetic tructure and mating systems in wild and cultivated populations of Phaseolus coccineus and Phaseolus vulgaris (Fabaceae). American Journal of Botany 81:1096_1103.",Fabaceae,Phaseolus,coccineus_coccineus,D,20.5,N,,2,4,0,0.645,"Escalante, A. M., G. Coello, L. E. Eguiarte, and D. Pinero. 1994. Genetic tructure and mating systems in wild and cultivated populations of Phaseolus coccineus and Phaseolus vulgaris (Fabaceae). American Journal of Botany 81:1096_1103."
1994,"Escalante, A. M., G. Coello, L. E. Eguiarte, and D. Pinero. 1994. Genetic tructure and mating systems in wild and cultivated populations of Phaseolus coccineus and Phaseolus vulgaris (Fabaceae). American Journal of Botany 81:1096_1103.",Fabaceae,Phaseolus,coccineus_formosus,D,20.5,N,,2,4,0,0.678,"Escalante, A. M., G. Coello, L. E. Eguiarte, and D. Pinero. 1994. Genetic tructure and mating systems in wild and cultivated populations of Phaseolus coccineus and Phaseolus vulgaris (Fabaceae). American Journal of Botany 81:1096_1103."
2012,MedranoETAL 2012,Amaryllidaceae,Narcissus,longispathus,M,38.08,N,3,1,4,1,0.655,
2010,RuhsamETAL2010,Rosaceae,Geum,rivale,D,55.63,N,6,1,4,,0.73,
2010,RuhsamETAL2010,Rosaceae,Geum,rivale,D,55.63,N,6,1,4,,0.73,
2009,"Juan P. Gonza_lez_Varo, Rafael G. Albaladejo, Abelardo Aparicio. 2009. Mating patterns and spatial distribution of conspecific neighbours in the Mediterranean shrub Myrtus communis (Myrtaceae). Plant Ecol 203:207_215.",Myrtaceae,Myrtus,communis,D,38.783,N,6,3,4,,0.3535,
2012,Gonzalez_Varo ETAL 2012,Myrtaceae,Myrtus,communis,D,37.38,N,3,3,4,1,0.41,
2000,"Franceschinelli, E. V., and K. S. Bawa. 2000. The effect of ecological factors on the mating system of a South American shrub species (Helicteres brevispira). Heredity 84:116_123.",Malvaceae,Helicteres,brevispira,D,22.18,S,5,4,4,1,0.573,"Franceschinelli, E. V., and K. S. Bawa. 2000. The effect of ecological factors on the mating system of a South American shrub species (Helicteres brevispira). Heredity 84:116_123."
2002,"Arroyo et al.. 2002. Arroyo, J., S. C. H. Barrett, R. Hidalgo, and W. W. Cole. 2002. Evolutionary maintenance of stigma_height dimorphism in Narcissus papyraceus (Amaryllidaceae). American Journal of Botany 89:1242_1249.. Amer J Bot 89:1242_1249",Amaryllidaceae,Narcissus,papyraceus,M,36.6,N,3,1,4,0,0.81,"Arroyo et al.. 2002. Arroyo, J., S. C. H. Barrett, R. Hidalgo, and W. W. Cole. 2002. Evolutionary maintenance of stigma_height dimorphism in Narcissus papyraceus (Amaryllidaceae). American Journal of Botany 89:1242_1249.. Amer J Bot 89:1242_1249"
1994,"Kitamura K, Abdul Rahman MY, Ochiai Y, H Yoshimaru. 1994. Estimation of the outcrossing rate on Dryobalanops aromatica Gaertn. f. in primary and secondary forest in Brunei, Borneo, southeast Asia. Plant Species Biol. 9:37_41. ",Dipterocarpaceae,Dryobalanops,aromatica,D,4.92,N,8,4,4,1,0.816,"Kitamura K, Abdul Rahman MY, Ochiai Y, H Yoshimaru. 1994. Estimation of the outcrossing rate on Dryobalanops aromatica Gaertn. f. in primary and secondary forest in Brunei, Borneo, southeast Asia. Plant Species Biol. 9:37_41. "
2000,"Lee, S. L. 2000. Mating system parameters of Dryobalanops aromatica Gaertn. f. (Dipterocarpaceae) in three different forest types and a seed orchard. Heredity 85:338_345.",Dipterocarpaceae,Dryobalanops,aromatica,D,2.66,S,8,4,4,1,0.844,"Lee, S. L. 2000. Mating system parameters of Dryobalanops aromatica Gaertn. f. (Dipterocarpaceae) in three different forest types and a seed orchard. Heredity 85:338_345."
2007,Williams 2007,Ranunculaceae,Delphinium,barbeyi,D,38.95,N,,1,4,1,0.685,
2008,Musche ETAL 2008,Rosaceae,Sanguisorba,officinalis,D,49.18,N,6,1,4,,0.914,
1989,"Dudash M.R., S.C.H. Barrett. 1989. The influence of environmental and demographic factors on the mixed mating system of Sabatia angularis. Amer. J. Bot. 76 (suppl) abstract no 261.",Gentianaceae,Sabatia,angularis,D,41.5,N,,1,2,1,0.723,"Dudash M.R., S.C.H. Barrett. 1989. The influence of environmental and demographic factors on the mixed mating system of Sabatia angularis. Amer. J. Bot. 76 (suppl) abstract no 261."
2009,LiangETAL 2009,Fabaceae,Amphicarpaea,edgeworthii,D,34.43,N,,1,1,1,0.011,
2008,de Lacerda and Kanashiro 2008,Fabaceae,Hymenaea,courbaril,D,2.85,S,8,4,4,,1.002,
2009,"Juliana Massimino Feres, Marcela Corbo Guidugli, Moacyr Antonio Mestriner, Alexandre Magno Sebbenn, Ana Yamaguishi Ciampi, Ana Lilia Alzate_Marin. 2009. Microsatellite diversity and effective population size in a germplasm bank of Hymenaea courbaril_stilbocarpa (Leguminosae), an endangered tropical tree: recommendations for conservation. Genet Resour Crop Evol  56:797_807",Fabaceae,Hymenaea,courbaril_stilocarpa,D,21.167,S,5,4,4,,0.978,
2011,Ozimec and Husband 2011,Onagraceae,Chamerion,angustifolium,D,51.03,N,,1,4,1,0.818,
1984,"Piper, J. G., B. Charlesworth, and D. Charlesworth. 1984. A high rate of self_fertilization and increased seed fertility of homostyle primroses. Nature 310:50_51.",Primulaceae,Primula,vulgaris,D,51.1,N,6,1,4,1,0.852,"Piper, J. G., B. Charlesworth, and D. Charlesworth. 1984. A high rate of self_fertilization and increased seed fertility of homostyle primroses. Nature 310:50_51."
1998,"James, T., S. Vege, P. Aldrich, and J. L. Hamrick. 1998. Mating systems of three tropical dry forest tree species. Biotropica 30:587_594.",Apocynaceae,Stemmadenia,donnell_smithii,D,9,N,7,4,4,0,0.896,"James, T., S. Vege, P. Aldrich, and J. L. Hamrick. 1998. Mating systems of three tropical dry forest tree species. Biotropica 30:587_594."
2001,"Rocha, O. J., and G. Aguilar. 2001b. Variation in the breeding behavior of the dry forest tree Enterolobium cyclocarpum (Guanacaste) in Costa Rica. American Journal of Botany 88:1600_1606.",Fabaceae,Enterolobium,cyclocarpum,D,10.12,N,7,4,4,0,0.878,"Rocha, O. J., and G. Aguilar. 2001b. Variation in the breeding behavior of the dry forest tree Enterolobium cyclocarpum (Guanacaste) in Costa Rica. American Journal of Botany 88:1600_1606."
2001,"Rocha OJ, G Aguilar. 2001a. Reproductive biology of the dry forest tree Enterolobium cyclocarpum (Guanacaste) in Costa Rica: a comparison between trees left in pastures and trees in continuous forest. Am. J. Bot. 88:1607_1614 ",Fabaceae,Enterolobium,cyclocarpum,D,,N,7,4,4,0,0.995,"Rocha OJ, G Aguilar. 2001a. Reproductive biology of the dry forest tree Enterolobium cyclocarpum (Guanacaste) in Costa Rica: a comparison between trees left in pastures and trees in continuous forest. Am. J. Bot. 88:1607_1614 "
1993,"P_rez_Nasser N, Eguiarte LE, D Pi_ero. 1993. Mating system and genetic structure of the distylous tropical tree Psychotria faxlucens (Rubiaceae). Am J Bot 80(1):45_52",Rubiaceae,Psychotria,faxlucens,D,18.35,N,8,4,4,0,1.017,"P_rez_Nasser N, Eguiarte LE, D Pi_ero. 1993. Mating system and genetic structure of the distylous tropical tree Psychotria faxlucens (Rubiaceae). Am J Bot 80(1):45_52"
1992,"Motten, A. F., and J. Antonovics. 1992. Determinants of outcrossing rate in a predominantly self_fertilizing weed, Datura stramonium (Solanaceae). American Journal of Botany 79:419_4127.",Solanaceae,Datura,stramonium,D,36.08,N,6,1,1,1,0.013,"Motten, A. F., and J. Antonovics. 1992. Determinants of outcrossing rate in a predominantly self_fertilizing weed, Datura stramonium (Solanaceae). American Journal of Botany 79:419_4127."
2000,"Motten, A. F., and J. L. Stone. 2000. Heritability of stigma position and the effect of stigma_anther separation on outcrossing in a predominantly self_fertilizing weed, Datura stramonium (Solanaceae). American Journal of Botany 87:339_347.",Solanaceae,Datura,stramonium,D,36.08,N,6,1,1,1,0.076,"Motten, A. F., and J. L. Stone. 2000. Heritability of stigma position and the effect of stigma_anther separation on outcrossing in a predominantly self_fertilizing weed, Datura stramonium (Solanaceae). American Journal of Botany 87:339_347."
1995,Fenster C.B. 1995. Mirror image flowers and mating system in Chamaecrista fasciculata (Leguminosae). Amer. J. Bot. 82:46_50.,Fabaceae,Chamaecrista,fasiculata,D,37.36,N,2,1,1,1,0.665,Fenster C.B. 1995. Mirror image flowers and mating system in Chamaecrista fasciculata (Leguminosae). Amer. J. Bot. 82:46_50.
,Barrett et al. unpublished data,Pontederiaceae,Monochoria,korsakowii,M,,N,,1,1,1,0.507,Barrett et al. unpublished data
1984,"Crawford TJ. 1984. What is a population?. In Shorrocks, B (ed) Evolutionary Ecology. Blackwell Scientific, Oxford UK: 135_173",Malvaceae,Malva,moschata,D,,,,1,4,1,0.64,"Crawford TJ. 1984. What is a population?. In Shorrocks, B (ed) Evolutionary Ecology. Blackwell Scientific, Oxford UK: 135_173"
2011,"F.S. Carneiro, A.E.B. Lacerda, M.R. Lemes,1, R. Gribel, M. Kanashiro , L.H.O. Wadte, A.M. Sebbenn. 2011. Effects of selective logging on the mating system and pollen dispersal of Hymenaea courbaril L. (Leguminosae) in the Eastern Brazilian Amazon as revealed by microsatellite analysis. Forest Ecology and Management 262:1758_1765",Fabaceae,Hymenaea,courbaril,D,2,S,8,4,4,,0.962,
1990,"Johnston, M. O. 1990. Natural selection, inbreeding depression and self_fertilization in two species of Lobelia with different pollinators. university of Chicago, Chicago, Illinois, U.S.A.",Campanulaceae,Lobelia,cardinalis,D,43.63,N,6,1,4,1,0.73,"Johnston, M. O. 1990. Natural selection, inbreeding depression and self_fertilization in two species of Lobelia with different pollinators. university of Chicago, Chicago, Illinois, U.S.A."
1999,"Ortiz_Barney, E., and J. D. Ackerman. 1999. The cost of selfing in Encyclia cochleata (Orchidaceae). Plant Systematics and Evolution 219:55_64.",Orchidaceae,Encyclia,cochleata,M,18.25,N,8,1,4,1,0.4,"Ortiz_Barney, E., and J. D. Ackerman. 1999. The cost of selfing in Encyclia cochleata (Orchidaceae). Plant Systematics and Evolution 219:55_64."
2002,"Dorken ME, Friedman J, SCH Barrett. 2002. The evolution and maintenance of monoecy and dioecy in Sagittaria latifolia (Alismataceae). Evolution 56(1):31_41",Alismataceae,Sagittaria,latifolia,M,43.9,N,6,1,4,1,0.74,"Dorken ME, Friedman J, SCH Barrett. 2002. The evolution and maintenance of monoecy and dioecy in Sagittaria latifolia (Alismataceae). Evolution 56(1):31_41"
2012,"Stefan G. Michalski, Walter Durka. 2012. Assessment of provenance delineation by genetic differentiation patterns and estimates of gene flow in the common grassland plant Geranium pratense. Conserv Genet 13:581_592",Geraniaceae,Geranium,pratense,D,50.9,N,2,1,4,,0.88,
1995,"Belaoussoff, S., and J. S. Shore. 1995. Floral correlates and fitness consequences of mating system variation in Turnera ulmifolia. Evolution 49:545_556.",Passifloraceae,Turnera,ulmifolia angustifolia,D,18.1,N,8,1,4,1,0.221,"Belaoussoff, S., and J. S. Shore. 1995. Floral correlates and fitness consequences of mating system variation in Turnera ulmifolia. Evolution 49:545_556."
1986,"Brotoschol, J. V., J. H. Roberds, and G. Mankoong. 1986. Allozyme variation among North Carolina populations of Liriodendron tulipifera L. Silvae Genetica 35:131_138.",Magnoliaceae,Liriodendron,tulipifera,D,35,N,6,4,4,1,0.705,"Brotoschol, J. V., J. H. Roberds, and G. Mankoong. 1986. Allozyme variation among North Carolina populations of Liriodendron tulipifera L. Silvae Genetica 35:131_138."
1974,"Humphreys MO, JS Gale. 1974. Variation in wild populations of Papaver dubium. VIII. The mating system. Heredity 33:33_41",Papaveraceae,Papaver,dubium,D,52,N,,1,1,,0.24,"Humphreys MO, JS Gale. 1974. Variation in wild populations of Papaver dubium. VIII. The mating system. Heredity 33:33_41"
